From, To, Jaccard
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\base\AbstractPartial.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\base\AbstractPeriod.java, 0.192
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\base\AbstractPeriod.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\base\BaseSingleFieldPeriod.java, 0.17777777777777778
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\base\BaseLocal.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\convert\Converter.java, 0.15384615384615385
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\base\BaseLocal.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\convert\DurationConverter.java, 0.15384615384615385
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfMonthDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfYearDateTimeField.java, 0.4426229508196721
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfMonthDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicWeekOfWeekyearDateTimeField.java, 0.3142857142857143
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfMonthDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\GJDayOfWeekDateTimeField.java, 0.20588235294117646
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfMonthDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\GJYearOfEraDateTimeField.java, 0.1951219512195122
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfMonthDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\ISOYearOfEraDateTimeField.java, 0.1566265060240964
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfYearDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicWeekOfWeekyearDateTimeField.java, 0.34375
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfYearDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicYearDateTimeField.java, 0.15789473684210525
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfYearDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\GJDayOfWeekDateTimeField.java, 0.22580645161290322
D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\BasicDayOfYearDateTimeField.java, D:\SoftwareReengineering\joda-time\src\main\java\org\joda\time\chrono\GJEraDateTimeField.java, 0.16666666666666666
